id,ep,pic,num,belong,name,gender,birth,address,job,level,career,wealth,military,tax_total,tax_5y,tax_defalt,crim_cnt,candi_cnt,detail_url,gong_url
891,전주시갑,http://info.nec.go.kr/photo_20200415/Gsg4501/Hb100134742/gicho/thumbnail.100134742.JPG,1,더불어민주당,"김윤덕
(金潤德)",남,"1966.05.23
(53세)",전라북도 전주시 완산구 서원로,정당인,전북대학교 상과대학 회계학과 졸업,"(전) 문재인대통령후보 전북공동상임선대위원장
(전) 제19대 국회의원",711888,군복무를 마친사람,29723,0,0,1건,3회,http://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020200415&huboId=100134742,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100134742#none
892,전주시갑,http://info.nec.go.kr/photo_20200415/Gsg4501/Hb100137544/gicho/thumbnail.100137544.JPG,6,정의당,"염경석
(廉京石)",남,"1960.08.05
(59세)",전라북도 전주시 완산구 서원로,정당인,전북대학교 법무대학원 석사과정 수료,"(전) 민주노총 전북본부 1~4대 본부장
(현) 정의당 전북도당 위원장",267720,군복무를 마친사람,74517,0,0,2건,6회,http://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020200415&huboId=100137544,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100137544#none
893,전주시갑,http://info.nec.go.kr/photo_20200415/Gsg4501/Hb100135565/gicho/thumbnail.100135565.JPG,7,국가혁명배당금당,"하태윤
(河泰潤)",남,"1947.02.09
(73세)",전라북도 전주시 덕진구 태진로,정당인,미기재,(현) 국가혁명배당금당 전라북도당 대표,-14840,군복무를 마친사람,1594,0,0,6건,0회,http://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020200415&huboId=100135565,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100135565#none
894,전주시갑,http://info.nec.go.kr/photo_20200415/Gsg4501/Hb100137979/gicho/thumbnail.100137979.JPG,8,기독자유통일당,"허성진
(許聖辰)",남,"1988.05.01
(31세)",인천광역시 남동구 남동대로837번길,정당인,고려대학교 인문대학 북한학과 졸업,"(전)CGNTV 기자
(현)자유통일청년정치연합 공동대표",30352,군복무를 마친사람,123,0,0,없음,0회,http://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020200415&huboId=100137979,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100137979#none
895,전주시갑,http://info.nec.go.kr/photo_20200415/Gsg4501/Hb100136712/gicho/thumbnail.100136712.JPG,9,무소속,"김광수
(金光守)",남,"1958.06.11
(61세)",전라북도 전주시 완산구 구이로,국회의원,전북대학교 행정대학원 석사과정 졸업(지방자치학과),"(전)제10대 전라북도의회 의장
(현)제20대 국회 보건복지위원회 위원",382884,군복무를 마친사람,24007,0,0,1건,7회,http://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020200415&huboId=100136712,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100136712#none
896,전주시갑,http://info.nec.go.kr/photo_20200415/Gsg4501/Hb100135082/gicho/thumbnail.100135082.JPG,10,무소속,"이범석
(李範錫)",남,"1969.08.02
(50세)",전라북도 전주시 완산구 안행9길,퀵기사(오토바이 배달),장로회신학대학교 대학원 신학과 졸업,(전)법인택시기사,0,군복무를 마친사람,0,0,0,없음,0회,http://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020200415&huboId=100135082,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100135082#none
897,전주시을,http://info.nec.go.kr/photo_20200415/Gsg4501/Hb100135891/gicho/thumbnail.100135891.JPG,1,더불어민주당,"이상직
(李相稷)",남,"1963.01.30
(57세)",전라북도 전주시 완산구 새터로,정당인,고려대학교 경영대학원 졸업(경영학 석사),"(전) 중소벤처기업진흥공단 이사장
(전) 문재인대통령 직속 일자리위원회 위원",4025575,군복무를 마친사람,168332,1471,0,2건,1회,http://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020200415&huboId=100135891,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100135891#none
898,전주시을,http://info.nec.go.kr/photo_20200415/Gsg4501/Hb100137504/gicho/thumbnail.100137504.JPG,2,미래통합당,"이수진
(李修珍)",여,"1968.07.14
(51세)",전라북도 전주시 완산구 강변로,한국고령화정책연구원 원장,경희대학교 대학원 행정학과 졸업(행정학박사),"(전) 전주대학교 객원교수
(전) 광진구의원",602629,해당없음(비대상),451,0,0,없음,2회,http://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020200415&huboId=100137504,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100137504#none
899,전주시을,http://info.nec.go.kr/photo_20200415/Gsg4501/Hb100137153/gicho/thumbnail.100137153.JPG,3,민생당,"조형철
(趙炯徹)",남,"1964.10.15
(55세)",전라북도 전주시 완산구 쑥고개로,정당인,전주대학교 법학과 졸업,"(전) 전주시의회의원(5대)
(전) 전라북도의회의원(9대)",178100,군복무를 마친사람,1815,0,0,1건,5회,http://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020200415&huboId=100137153,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100137153#none
900,전주시을,http://info.nec.go.kr/photo_20200415/Gsg4501/Hb100137262/gicho/thumbnail.100137262.JPG,6,정의당,"오형수
(吳炯洙)",남,"1963.01.01
(57세)",전라북도 전주시 덕진구 석소로,국민건강보험공단 직원,원광대학교행정대학원 졸업(사회복지학석사),"(전)6.13지방선거 정의당 전주시장 후보
(현)정의당 전북도당 정책위원장",555388,군복무를 마친사람,32932,0,0,5건,1회,http://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020200415&huboId=100137262,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100137262#none
