영주2동,영주제2동
동대신1동,동대신제1동
동대신2동,동대신제2동
동대신3동,동대신제3동
서대신1동,서대신제1동
서대신3동,서대신제3동
서대신4동,서대신제4동
부민동,부민동
아미동,아미동
초장동,초장동
충무동,충무동
남부민1동,남부민제1동
남부민2동,남부민제2동
암남동,암남동
초량1동,초량제1동
초량2동,초량제2동
초량3동,초량제3동
초량6동,초량제6동
수정1동,수정제1동
수정2동,수정제2동
수정4동,수정제4동
수정5동,수정제5동
좌천동,좌천동
범일1동,범일제1동
범일2동,범일제2동
범일5동,범일제5동
부전1동,부전제1동
연지동,연지동
초읍동,초읍동
양정1동,양정제1동
양정2동,양정제2동
부암1동,부암제1동
부암3동,부암제3동
당감1동,당감제1동
당감2동,당감제2동
당감4동,당감제4동
부전2동,부전제2동
전포1동,전포제1동
전포2동,전포제2동
가야1동,가야제1동
가야2동,가야제2동
개금1동,개금제1동
개금2동,개금제2동
개금3동,개금제3동
범천1동,범천제1동
범천2동,범천제2동
수민동,수민동
복산동,복산동
명륜동,명륜동
온천1동,온천제1동
온천2동,온천제2동
온천3동,온천제3동
사직1동,사직제1동
사직2동,사직제2동
사직3동,사직제3동
안락1동,안락제1동
안락2동,안락제2동
명장1동,명장제1동
명장2동,명장제2동
대연4동,대연제4동
대연5동,대연제5동
대연6동,대연제6동
용당동,용당동
감만1동,감만제1동
감만2동,감만제2동
우암동,우암동
문현1동,문현제1동
문현2동,문현제2동
문현3동,문현제3동
문현4동,문현제4동
대연1동,대연제1동
대연3동,대연제3동
용호1동,용호제1동
용호2동,용호제2동
용호3동,용호제3동
용호4동,용호제4동
구포1동,구포제1동
구포2동,구포제2동
구포3동,구포제3동
덕천1동,덕천제1동
덕천2동,덕천제2동
덕천3동,덕천제3동
만덕1동,만덕제1동
만덕2동,만덕제2동
만덕3동,만덕제3동
대저1동,대저1동
대저2동,대저2동
강동동,강동동
명지1동,명지1동
명지2동,명지2동
가락동,가락동
녹산동,녹산동
가덕도동,가덕도동
금곡동(북구),금곡동(북구)
화명1동(북구),화명제1동(북구)
화명2동(북구),화명제2동(북구)
화명3동(북구),화명제3동(북구)
우1동,우제1동
우2동,우제2동
우3동,우제3동
중1동,중제1동
중2동,중제2동
좌1동,좌제1동
좌2동,좌제2동
좌3동,좌제3동
좌4동,좌제4동
송정동,송정동
반여1동,반여제1동
반여2동,반여제2동
반여3동,반여제3동
반여4동,반여제4동
반송1동,반송제1동
반송2동,반송제2동
재송1동,재송제1동
재송2동,재송제2동
괴정1동,괴정제1동
괴정2동,괴정제2동
괴정3동,괴정제3동
괴정4동,괴정제4동
당리동,당리동
하단1동,하단제1동
하단2동,하단제2동
신평1동,신평제1동
신평2동,신평제2동
장림1동,장림제1동
장림2동,장림제2동
다대1동,다대제1동
다대2동,다대제2동
구평동,구평동
감천1동,감천제1동
감천2동,감천제2동
서1동,서제1동
서2동,서제2동
서3동,서제3동
금사회동동,금사회동동
부곡1동,부곡제1동
부곡2동,부곡제2동
부곡3동,부곡제3동
부곡4동,부곡제4동
장전1동,장전제1동
장전2동,장전제2동
선두구동,선두구동
청룡노포동,청룡노포동
남산동,남산동
구서1동,구서제1동
구서2동,구서제2동
금성동,금성동
거제1동,거제제1동
거제2동,거제제2동
거제3동,거제제3동
거제4동,거제제4동
연산1동,연산제1동
연산2동,연산제2동
연산3동,연산제3동
연산4동,연산제4동
연산5동,연산제5동
연산6동,연산제6동
연산8동,연산제8동
연산9동,연산제9동
남천1동,남천제1동
남천2동,남천제2동
수영동,수영동
망미1동,망미제1동
망미2동,망미제2동
광안1동,광안제1동
광안2동,광안제2동
광안3동,광안제3동
광안4동,광안제4동
민락동,민락동
삼락동,삼락동
모라1동,모라제1동
모라3동,모라제3동
덕포1동,덕포제1동
덕포2동,덕포제2동
괘법동,괘법동
감전동,감전동
주례1동,주례제1동
주례2동,주례제2동
주례3동,주례제3동
학장동,학장동
엄궁동,엄궁동
기장읍,기장읍
장안읍,장안읍
정관읍,정관읍
일광면,일광면
철마면,철마면
이천동,이천동
봉덕1동,봉덕1동
봉덕2동,봉덕2동
봉덕3동,봉덕3동
대명1동,대명1동
대명2동,대명2동
대명3동,대명3동
대명4동,대명4동
대명5동,대명5동
대명6동,대명6동
대명9동,대명9동
대명10동,대명10동
대명11동,대명11동
동인동,동인동
삼덕동,삼덕동
성내1동,성내1동
성내2동,성내2동
성내3동,성내3동
대신동,대신동
남산1동,남산1동
남산2동,남산2동
남산3동,남산3동
남산4동,남산4동
대봉1동,대봉1동
대봉2동,대봉2동
신암1동,신암1동
신암2동,신암2동
신암3동,신암3동
신암4동,신암4동
신암5동,신암5동
신천1·2동,신천1·2동
신천3동,신천3동
신천4동,신천4동
효목1동,효목1동
효목2동,효목2동
지저동,지저동
동촌동,동촌동
도평동,도평동
불로·봉무동,불로·봉무동
방촌동,방촌동
해안동,해안동
안심1동,안심1동
안심2동,안심2동
안심3·4동,안심3·4동
공산동,공산동
내당1동,내당1동
내당2·3동,내당2·3동
내당4동,내당4동
비산1동,비산1동
비산2·3동,비산2·3동
비산4동,비산4동
비산5동,비산5동
비산6동,비산6동
비산7동,비산7동
평리1동,평리1동
평리2동,평리2동
평리3동,평리3동
평리4동,평리4동
평리5동,평리5동
평리6동,평리6동
상중이동,상중이동
원대동,원대동
고성동,고성동
칠성동,칠성동
침산1동,침산1동
침산2동,침산2동
침산3동,침산3동
노원동,노원동
산격1동,산격1동
산격2동,산격2동
산격3동,산격3동
